case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
pgp1000batt1000,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.029542980189752,2.481285101009318,0.0,1.684022588860389,393.52591257882915,0.27064690875087705,0.5334997138932531,0.11909948093198675,optimal,0.0,0.0,0.2830595446155833,0.7903406472936381,0.0,0.02902830472755005,0.026124947291124218,0.46423200058835584,0.13822533739417447,0.06772850292137891,167.64571790965434,0.0,-3.5430759553576824e-17,0.11178316503729918,0.0
pgp1000batt0950,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0040272875,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.030920088281562,2.4842513870416703,0.0,1.68775805971558,391.4366889123838,0.26765846489526485,0.5325535402010225,0.11874197893731729,optimal,0.0,0.0,0.28343816269841676,0.7896041614448114,0.0,0.02902267129722387,0.026119879695225275,0.4620371906404503,0.1375247620770905,0.06738522953586097,166.89884717402282,0.0,1.2910628209537056e-17,0.11359810707114122,0.0
pgp1000batt0900,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.003815325,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0321044440451834,2.4868024852305926,0.0,1.6909706807607234,389.66790519410495,0.2651460518877443,0.5317398014157775,0.11838397745776295,optimal,0.0,0.0,0.28376378601824337,0.7889704909608516,0.0,0.029006070579724062,0.02610494024830771,0.46098107172231,0.13692401985925837,0.06709087321157986,166.2534365993091,0.0,2.0884197937574003e-17,0.11515928339587887,0.0
pgp1000batt0850,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0036033625,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.035352048528047,2.493797813973061,0.0,1.6997799615768592,384.83172888632595,0.25836859712667526,0.5295084602866887,0.11802465018015286,optimal,0.0,0.0,0.2846566729240834,0.7872445973188954,0.0,0.028996833702309627,0.026096629894967156,0.4584823866088066,0.1352925296229482,0.06629146318731184,164.48339926142242,0.0,-1.6495553559445212e-17,0.1194284771330545,0.0
pgp1000batt0800,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0033914,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0388245634729112,2.5012775990671625,0.0,1.7091993226625297,379.67098885355773,0.25127315405076134,0.5271225892673773,0.11766365251036211,optimal,0.0,0.0,0.28561139605646085,0.7854114573931376,0.0,0.029038528010268082,0.02613415582382573,0.4575558883556846,0.1335620136592301,0.06544353239607394,162.55211045461056,0.0,7.15776985879008e-18,0.12398105153321518,0.0
pgp1000batt0750,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0031794375,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0394241934046162,2.5025691998511355,0.0,1.7108258472230244,378.77984088565904,0.2500724734447199,0.5267105997729958,0.11730126276617021,optimal,0.0,0.0,0.28577625656124045,0.785095770502816,0.0,0.02904897913419951,0.026143561868346564,0.4575268321661413,0.13326423391612482,0.06529762411792144,162.21934671735218,0.0,1.667206153109252e-17,0.12476632727601224,0.0
pgp1000batt0700,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.002967475,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0569389660868924,2.484966871871072,0.0,1.9272918974825042,374.952295282261,0.2447121772664528,0.5169672259752857,0.11690128970974784,optimal,0.0,0.0,0.2905917170858479,0.7792726460352665,0.0,0.03100494147715679,0.027903860463619302,0.5170031818473076,0.13090481253882308,0.06414153043124615,160.22167831286467,0.0,1.7752465666024682e-17,0.12418975216175425,0.0
pgp1000batt0650,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0027555125,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.057144488045537,2.485488859570322,0.0,1.9276072479903639,374.61484360284555,0.24426746605865524,0.5168227347273932,0.11649272918628191,optimal,0.0,0.0,0.29064822269381363,0.7791607235242837,0.0,0.03100551817071883,0.02790437976060442,0.5167628752028587,0.13079604234059541,0.06408823453261236,160.09031641100918,0.0,-6.881385476423057e-18,0.12449145436917167,0.0
pgp1000batt0600,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00254355,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0583374563046775,2.4885187779351257,0.0,1.9294377246404575,372.6547917283364,0.24171784465121343,0.5159840239949917,0.11608395636011219,optimal,0.0,0.0,0.2909762139080424,0.7785105832546271,0.0,0.031002671570509708,0.0279018195820932,0.5152109146405576,0.1301649565881019,0.06377901141384887,159.31012475694178,0.0,5.2030568060029825e-18,0.12624318570758383,0.0
pgp1000batt0550,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0023315875,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.05866521129398,2.4893512148869346,0.0,1.9299406280918052,372.11601992410135,0.24102685616591968,0.5157535973889023,0.11567496858030853,optimal,0.0,0.0,0.2910663259090007,0.7783317997113762,0.0,0.031000095663513208,0.027899501694642396,0.5148331199912095,0.12999160145530134,0.0636940698037953,159.09929505813906,0.0,1.2452052912064858e-17,0.12672461935588947,0.0
pgp1000batt0500,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.002119625,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.05866521129398,2.4893512148869346,0.0,1.9299406280918052,372.11601992410135,0.24102685616591968,0.5157535973889023,0.1152658935399266,optimal,0.0,0.0,0.2910663259090007,0.7783317997113762,0.0,0.031000095663513208,0.027899501694642396,0.5148331199912095,0.12999160145530134,0.0636940698037953,159.09929505813906,0.0,1.2550274697919253e-17,0.12672461935588947,0.0
pgp1000batt0450,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0019076625,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.058040364582669,2.4879672454742545,0.0,2.5682645530434356,369.443941426711,0.22879627511826536,0.49964070689757756,0.1148315925586022,optimal,0.0,0.0,0.2908945323763736,0.7766220148255112,0.0,0.03486469143802261,0.03137744084832667,0.6884197349029502,0.1255440937041711,0.061514797091982015,158.56576063943376,0.0,-1.679444439013401e-17,0.1279312328157023,0.0
