time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.002198499282796534,0.6558548203898135,0.0,0.0,0.11651654735796522,5.563775537606296,0.0,0.4370876782390634,110.03573105559826,0.0,0.0,0.0,0.0,0.08279557715523606
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6654784520946836,0.0,0.0,0.10703571835231329,5.447252674639805,0.0,0.4370876782390634,109.59864212213759,0.0,0.0,0.0,0.0,0.08279567113908624
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6686874181947179,0.0,0.0,0.08552676995721507,5.340210772947563,0.0,0.4370876782390634,109.16155319366298,0.0,0.0,0.0,0.0,0.0827957651230431
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6618912777098441,0.0,0.0,0.0688194461698422,5.254677941156893,0.0,0.4370876782390634,108.72446427017442,0.0,0.0,0.0,0.0,0.08279585910710664
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6355309147964112,0.0,0.0,0.07543013242666666,5.185852530244479,0.0,0.4370876782390634,108.28737535167188,0.0,0.0,1.1102230246251565e-16,0.0,0.08279595309127688
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6115704605581292,0.0,0.0,0.07953598382855374,5.110416511201031,0.0,0.4370876782390634,107.85028643815542,0.0,0.0,0.0,0.0,0.08279604707555378
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.5997582148903496,0.0,0.0,0.07871211955914977,5.030874726385382,0.0,0.4370876782390634,107.413197529625,0.0,0.0,0.0,0.0,0.08279614105993739
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5939582527692812,0.0,0.0,0.07698523429347015,4.952156896129404,0.0,0.4370876782390634,106.97610862608063,0.0,0.0,0.0,0.0,0.08279623504442768
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5863569728366081,0.0,0.0,0.07764639690595815,4.875166040494076,0.0,0.4370876782390634,106.5390197275223,0.0,0.0,0.0,0.0,0.08279632902902466
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.583117110896267,0.0,0.0,0.08447516246512972,4.797514109640891,0.0,0.4370876782390634,106.10193083395002,0.0,0.0,0.0,0.0,0.0827964230137283
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.5838115687021869,0.0,0.0,0.09536755279852531,4.71303350137357,0.0,0.4370876782390634,105.66484194536378,0.0,0.0,1.1102230246251565e-16,0.0,0.08279651699853864
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.5793435783430754,0.0,0.0,0.11760875320315885,4.617660598669326,0.0,0.4370876782390634,105.22775306176361,0.0,0.0,0.0,0.0,0.08279661098345567
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.566139365981178,0.0,0.0,0.1534341933868507,4.500046603821092,0.0,0.4370876782390634,104.79066418314947,0.0,0.0,0.0,0.0,0.08279670496847938
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5521773810131021,0.0,0.0,0.18841995862323174,4.34660730229634,0.0,0.4370876782390634,104.35357530952137,0.0,0.0,0.0,0.0,0.08279679895360977
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.08008562200422663,0.5383945018392333,0.0,0.0,0.13336358918553406,4.158182409708761,0.0,0.4370876782390634,103.91648644087934,0.0,0.0,0.0,0.0,0.08279689293884686
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.4268758135454142,0.4774187799081632,0.0,0.0,0.0,4.024814100445629,0.0,0.2895726109656761,103.47939757722334,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.07452105648344591
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.6160529284804037,0.400664688662544,0.0,0.0,0.0,4.0248095317583985,0.0,0.17317952324927008,103.18982378582677,0.0,0.0,0.0,0.0,0.07452105733353741
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.6357114743146876,0.35028437298491205,0.0,0.0,0.0,4.024804963076354,0.0,0.19475344329569447,103.01664308544993,0.0,-1.1102230246251565e-16,0.0,0.0,0.07452105818362895
