case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
engpgp1000pwrpgp1100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0519696737015178,2.529592120706204,0.0,1.7448560561021713,360.4946460357271,0.22705763808756546,0.5180909398610953,0.12278204438645737,optimal,0.0,0.0,0.2892254743288855,0.7785940962671252,0.0,0.02897928295901208,0.026080839329005828,0.4539868605742781,0.12729285891228825,0.06237173194628377,155.06782734646944,0.0,-3.8858456288349036e-17,0.14109275739008853,0.0
engpgp1000pwrpgp1000,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.029542980189752,2.481285101009318,0.0,1.684022588860389,393.52591257882915,0.27064690875087705,0.5334997138932531,0.11909948093198675,optimal,0.0,0.0,0.2830595446155833,0.7903406472936381,0.0,0.02902830472755005,0.026124947291124218,0.46423200058835584,0.13822533739417447,0.06772850292137891,167.64571790965434,0.0,-3.5430759553576824e-17,0.11178316503729918,0.0
engpgp1000pwrpgp0900,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0159340290894534,2.451971467748526,0.0,1.6471076651102288,414.591783955648,0.30372537034097924,0.542850055806526,0.11527862835596372,optimal,0.0,0.0,0.27931793928655047,0.79778488224041,0.0,0.029529436260283648,0.026575964988863637,0.46483256688608604,0.14538696203236276,0.07123761177682238,175.29139252366454,0.0,3.209698908028904e-18,0.09368133714413858,0.0
engpgp1000pwrpgp0800,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0019847813771372,2.421924836770933,0.0,1.6092696706992602,437.7693149791205,0.3462569064678741,0.552434206310251,0.11134231425998999,optimal,0.0,0.0,0.2754827737993841,0.8055980489686151,0.0,0.029560174652698546,0.02660362350245827,0.47015317226141423,0.15318073205107632,0.07505646043331747,183.93952218894054,0.0,6.086387341636039e-18,0.07494408060691427,0.0
engpgp1000pwrpgp0700,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.98964605364206,2.3953047362115507,0.0,1.575734435514224,458.6028792473684,0.393904966918378,0.560925804103775,0.1072848158362197,optimal,0.0,0.0,0.27209039997815426,0.812653336374599,0.0,0.029212896522048715,0.026291081302877706,0.46300156470036474,0.16043085023227444,0.078608929098692,191.7628134159928,0.0,3.806834686387985e-18,0.05821049118255492,0.0
engpgp1000pwrpgp0600,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.9807983291796322,2.3762076053131747,0.0,1.5516739163518314,475.46536589336773,0.4368472893526596,0.5670177222296812,0.1031126287601814,optimal,0.0,0.0,0.26965783241622754,0.8178062495282162,0.0,0.028672509605794688,0.025804728801451637,0.466769236636707,0.16587065120143052,0.0812743500613298,198.90837230995032,0.0,3.191564486197096e-18,0.04611441114996122,0.0
engpgp1000pwrpgp0500,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.9715674832374563,2.36269789548022,0.0,1.528804649809521,490.12659251569994,0.48226697468981644,0.5725445143448579,0.09884583704449021,optimal,0.0,0.0,0.2671199305519194,0.8226332885212814,0.0,0.027572615719885306,0.024814824403299254,0.4666818756655129,0.17057467856553013,0.08357925080891543,205.27799404743223,0.0,1.4612108589589986e-17,0.036375630683482915,0.0
engpgp1000pwrpgp0400,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.9721007027362718,2.3500934587205617,0.0,1.5166533603472065,497.2662136711331,0.5146537713285965,0.5754217510231365,0.09449746665568533,optimal,0.0,0.0,0.2672665323659467,0.8236833823927345,0.0,0.02661914816646917,0.02395670356661771,0.4667158867683403,0.17310803067947675,0.0848205605206468,208.15543346148553,0.0,-2.7532487161136284e-17,0.030742926560075164,0.0
engpgp1000pwrpgp0300,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.9716172295349615,2.3615219743777014,0.0,0.19824651008282723,507.0785257487155,0.6547279602700015,0.7940886587195752,0.08951642276818522,optimal,0.0,0.0,0.2671336076538851,0.8350026064988295,0.0,0.005025391459929076,0.004522798281479632,0.047600236568384864,0.19927688091174017,0.0976432599374749,211.4162098795938,0.0,8.73691034711299e-18,0.023578781654556118,0.0
engpgp1000pwrpgp0200,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.9041417297243307,2.4062822254162652,0.0,0.0,534.386977735556,0.7709206370433184,0.8504586917944257,0.08324490146214533,optimal,0.0,0.0,0.24858209050830093,0.8594468809080962,0.0,0.0,0.0,0.0,0.21181645556579187,0.10378748414939465,226.08813908367267,0.0,6.623943416393378e-18,0.01540804561916427,0.0
