time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0038860168880175327,0.785331221877723,0.0,0.0,0.37395748417770563,2.2467365649396553,0.0,0.04848282232619243,23.589492841511415,0.0,0.0,1.1102230246251565e-16,0.0,2.1428589273011855e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.7968547148989298,0.0,0.0,0.37395748417770563,1.8727765304238728,0.0,0.03878964960942482,23.541009750090442,0.0,0.0,1.1102230246251565e-16,0.0,2.142858951745635e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.8006971830640739,0.0,0.0,0.37395748417770563,1.498816920401344,0.0,0.016647199149216863,23.5022198319393,0.0,0.0,0.0,0.0,2.1428589761900843e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.7925593739863479,0.0,0.0,0.37395748417770563,1.1248577348715876,0.0,0.0012815439546962123,23.48557236469086,0.0,0.0,0.0,0.0,2.142859000634534e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.760995046985378,0.0,0.0,0.35783815925253465,0.7508989738341213,0.0,0.029215519224228652,23.48429055282685,0.0,0.0,0.0,0.0,2.1428590250789844e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.7323044096389736,0.0,0.0,0.010095361375817282,0.3930599622136346,0.0,0.38579435161095543,23.455074765707923,0.0,0.0,0.0,0.0,2.1428614575053102e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.7181602346859198,0.0,0.0,0.011603426391687512,0.38296415466366235,0.0,0.38579435161095543,23.069280146535544,0.0,0.0,0.0,0.0,2.1428638899343975e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.7112152657724095,0.0,0.0,0.011021547918449831,0.371360293557874,0.0,0.38579435161095543,22.68348553176408,0.0,0.0,0.0,0.0,2.1428663223662466e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.7021133696335464,0.0,0.0,0.013183326737127802,0.3603383240972141,0.0,0.38579435161095543,22.297690921393535,0.0,0.0,0.0,0.0,2.1428687548008558e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.6982339062870532,0.0,0.0,0.020651693702451512,0.3471545883292445,0.0,0.38579435161095543,21.9118963154239,0.0,0.0,1.1102230246251565e-16,0.0,2.1428711872382268e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.6990654613512386,0.0,0.0,0.031406986777581566,0.32650250056120517,0.0,0.38579435161095543,21.526101713855176,0.0,0.0,0.0,0.0,2.1428736196783586e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.693715417074712,0.0,0.0,0.054530241099630235,0.29509514316084007,0.0,0.38579435161095543,21.140307116687367,0.0,0.0,0.0,0.0,2.1428760521212515e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.6779044785777767,0.0,0.0,0.09296240741835986,0.24056456708986002,0.0,0.38579435161095543,20.75451252392047,0.0,0.0,1.1102230246251565e-16,0.0,2.142878484566906e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.6611861708457386,0.0,0.0,0.1307044954187031,0.14760188659944312,0.0,0.38579435161095543,20.36871793555449,0.0,0.0,1.1102230246251565e-16,0.0,2.142880917015321e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.14155750790145483,0.6446823273027821,0.0,0.0,0.016897204452865015,0.01689722363341048,0.0,0.38579435161095543,19.98292335158942,0.0,2.7755575615628914e-17,0.0,0.0,2.1428833494664974e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.7545358934179944,0.5716690067930053,0.0,0.13233769579174626,0.0,0.0,0.0,0.0,19.597128772025265,0.0,0.0,0.0,0.0,1.928549525708598e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,1.088921021135063,0.47976241041210205,0.0,0.37395748417770563,0.0,0.11910392621257163,0.00482880697724175,0.0,19.597128548472977,0.0,2.220446049250313e-16,0.0,0.0,1.0500010660220795e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,1.1236690156892026,0.4194362015627348,0.0,0.36235592665664346,0.0,0.45566552677406696,0.0,0.0,19.599494440339544,0.0,0.0,0.0,0.0,1.928553904024899e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,1.0543345599243394,0.4087815951332524,0.0,0.2987075109511388,0.0,0.7817853435254366,0.0,0.0,19.59949421676027,0.0,2.220446049250313e-16,0.0,0.0,1.928556093186777e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,1.016310406919681,0.419286202760199,0.0,0.28376197634298184,0.0,1.0506212159534647,0.0,0.0,19.599493993180996,0.0,0.0,0.0,0.0,1.92855828235114e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,1.0474734047018677,0.4329771222270472,0.0,0.33775089528529295,0.0,1.3060058020704872,0.0,0.0,19.59949376960173,0.0,0.0,-5.551115123125783e-17,0.0,1.928560471517988e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,1.0926231008149911,0.4412987705933599,0.0,0.37395748417770563,0.0,1.609980125340885,0.004172537970358644,0.0,19.599493546022465,0.0,2.220446049250313e-16,5.551115123125783e-17,0.0,1.0500011259109925e-08
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.9598253061445762,0.4558121753754116,0.0,0.20920269038300307,0.0,1.9465400335640803,0.0,0.0,19.601537866048677,0.0,0.0,0.0,0.0,1.9285648498591388e-08
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.36970884377317453,0.5267948231610887,0.0,0.0,0.3591479265745616,2.134820245332795,0.0,0.0,19.601537642446093,0.0,5.551115123125783e-17,0.0,0.0,2.1428522655927137e-08
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.0035764678206409643,0.5885176109796468,0.0,0.0,0.37395748417770563,1.775669895459728,0.0,0.318880858743177,19.601537418843513,0.0,0.0,0.0,0.0,2.1428595139680447e-08
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.6124573322983679,0.0,0.0,0.37395748417770563,1.401710395665854,0.0,0.30562260656208984,19.28265633649776,0.0,0.0,0.0,0.0,2.1428595384125004e-08
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.6144000041012396,0.0,0.0,0.35826824851120914,1.0277513203646271,0.0,0.3056452543797207,18.977033509970692,0.0,0.0,0.0,0.0,2.1428595628569567e-08
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.6215324367234863,0.0,0.0,0.24112772578125088,0.6694819052220616,0.0,0.38579435161095543,18.671388039112358,0.0,0.0,0.0,0.0,2.1428619952838937e-08
28.0,1.2128866805185698,0.0,0.221920502,0.0,0.0,0.0,0.6434665112143554,0.0,0.0,0.18362581769325906,0.42835341949181566,0.0,0.38579435161095543,18.28559347450941,0.0,0.0,0.0,0.0,2.1428644277135914e-08
29.0,1.1863382156818976,0.0,0.228137587,0.0,0.0,0.0,0.6614931737300751,0.0,0.0,0.13905069034086695,0.24472711556173954,0.0,0.38579435161095543,17.899798914307375,0.0,0.0,0.0,0.0,2.1428668601460503e-08
30.0,1.161374350295067,0.0,0.239214475,0.0,0.0,0.0,0.6936110105781198,0.0,0.0,0.081968988105992,0.1056761474237819,0.0,0.38579435161095543,17.514004358506252,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428692925812703e-08
31.0,1.1492864261135043,0.0,0.255139109,0.0,0.0,0.0,0.7397850620514959,0.0,0.0,0.02370701245105307,0.02370703936162466,0.0,0.38579435161095543,17.128209807106046,0.0,0.0,0.0,0.0,2.1428717250192518e-08
