case name,SolarWind_PGPbatt,Solar_PGP,Solar_batt,Solar_PGPbatt,Wind_PGP,Wind_batt,Wind_PGPbatt,SolarWind_PGP,SolarWind_batt,SolarWind_PGPbatt,,,,,,,
system reliability,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,
CO2 price ($/kgCO2),0,0,0,0,0,0,0,0,0,0,,,,,,,
norm. demand to 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,
demand file,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,,,,,,,
mean demand (kW),1,1,1,1,1,1,1,1,1,1,,,,,,,
fixed cost solar ($/kW/h),0.0218638,0.0218638,0.0218638,0.0218638,-1,-1,-1,0.0218638,0.0218638,0.0218638,,,,,,,
var cost solar ($/kW/h),1.00E-08,1.00E-08,1.00E-08,1.00E-08,-1,-1,-1,1.00E-08,1.00E-08,1.00E-08,,,,,,,
solar file,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,,,,,,,
cap factor solar (-),0.274937084,0.274937084,0.274937084,0.274937084,0,0,0,0.274937084,0.274937084,0.274937084,,,,,,,
fixed cost wind ($/kW/h),0.0206486,-1,-1,-1,0.0206486,0.0206486,0.0206486,0.0206486,0.0206486,0.0206486,,,,,,,
var cost wind ($/kW/h),1.05E-08,-1,-1,-1,1.05E-08,1.05E-08,1.05E-08,1.05E-08,1.05E-08,1.05E-08,,,,,,,
wind file,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,,,,,,,
cap factor wind (-),0.363571204,0,0,0,0.363571204,0.363571204,0.363571204,0.363571204,0.363571204,0.363571204,,,,,,,
fixed cost storage ($/kWh/h),0.00423925,-1,0.00423925,0.00423925,-1,0.00423925,0.00423925,-1,0.00423925,0.00423925,,,,,,,
var cost storage ($/kWh/h),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,
storage charging efficiency,0.9,-1,0.9,0.9,-1,0.9,0.9,-1,0.9,0.9,,,,,,,
storage charging time (h),6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,,,,,,,
storage decay rate (1/h)),1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,,,,,,,
fixed cost pgp storage ($/kWh/h),1.47E-06,1.47E-06,-1,1.47E-06,1.47E-06,-1,1.47E-06,1.47E-06,-1,1.47E-06,,,,,,,
fixed cost to pgp storage ($/kW/h),0.0148027,0.0148027,1,0.0148027,0.0148027,1,0.0148027,0.0148027,1,0.0148027,,,,,,,
fixed cost from pgp storage ($/kW/h),0.0630376,0.0630376,-1,0.0630376,0.0630376,-1,0.0630376,0.0630376,-1,0.0630376,,,,,,,
var cost to pgp storage ($/kW/h),0,0,0,0,0,0,0,0,0,0,,,,,,,
var cost from pgp storage ($/kW/h),0,0,0,0,0,0,0,0,0,0,,,,,,,
pgp storage charging efficiency,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,,,,,,,
pgp storage decay rate (1/h)),1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,,,,,,,
problem status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,,,,,,,
system cost ($ or $/kWh),0.119099481,0.252831374,0.284428435,0.188862882,0.165303759,0.231801902,0.145071395,0.131003763,0.143325306,0.119099481,,,,,,,
capacity solar (kW),1.02954298,5.642491957,8.247238752,4.33491847,0,0,0,0.964948986,1.765493713,1.02954298,,0.045050512,,,,Power capcity,
dispatch solar (kW),0.283059545,1.500689488,1.052096304,1.133179407,0,0,0,0.26530026,0.439070679,0.283059545,,,,,,0.280670432,kW
curtailment solar (kW),-3.55E-17,0.050640796,1.215375467,0.058650436,0,0,0,-7.10E-18,0.046329014,-3.55E-17,,,,,,,
capacity wind (kW),2.481285101,0,0,0,3.438456889,8.886657213,3.327431483,2.519148341,4.262435891,2.481285101,,,,,,,
dispatch wind (kW),0.790340647,0,0,0,1.154681435,1.00249055,1.110113772,0.826175492,0.561812676,0.790340647,,,,0.123911112,,,
curtailment wind (kW),0.111783165,0,0,0,0.095442477,2.228442115,0.099644499,0.089714304,0.987886275,0.111783165,,0.14143669,,,,,
capacity storage (kW),1.684022589,0,24.55916628,11.04817285,0,11.39467163,5.278319784,0,3.942103086,1.684022589,kWh,,,,,1.958165801,
energy storage (kW),0.464232001,0,4.346116707,4.818703764,0,0.245705046,1.689185189,0,0.464193481,0.464232001,,,,,,,
dispatch to storage (kW),0.029028305,0,0.52091371,0.477258644,0,0.02490271,0.093618009,0,0.008828272,0.029028305,,,,,,,
dispatch from storage (kW),0.026124947,0,0.468817405,0.429527309,0,0.02241216,0.084254291,0,0.007944917,0.026124947,,,,8760,,,
capacity pgp storage (kW),393.5259126,743.1634937,0,585.5174685,748.3972998,0,664.521748,435.0171531,0,393.5259126,,,,0.044923049,,,
capacity to pgp storage (kW),0.270646909,2.902950984,0,0.5748529,0.676432434,0,0.438515321,0.39086339,0,0.270646909,,,,,,,
capacity from pgp storage (kW),0.533499714,1.3547533,0,0.600887234,1.319697561,0,0.737969013,0.816396959,0,0.533499714,,,,,,,
energy pgp storage (kW),167.6457179,418.8658727,0,334.7398098,357.4583664,0,325.6274769,183.935515,0,167.6457179,,,,,,,
dispatch to pgp storage (kW),0.138225337,0.981734725,0,0.167537753,0.303288935,0,0.197541842,0.179360106,0,0.138225337,,,,,,,
dispatch from pgp storage (kW),0.067728503,0.481045237,0,0.082089681,0.148607501,0,0.096791788,0.087884354,0,0.067728503,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,0.363571204,,,,,,,,,,,,489.3708452,,,,
,0.363571204,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
curtailment % of VRE capacity,0.031839544,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
curtailment % of VRE dispatch,0.094317191,,,,,,,,,,,,,,,,
