case name,Nuclear,Nuclear_batt,Nuclear_PGP,Natgas,Natgas_CCS,Solar_expbatt,Wind_expbatt,SolarWind_expbatt,Solar_PGP,Solar_batt,Solar_PGPbatt,Wind_PGP,Wind_batt,Wind_PGPbatt,SolarWind_PGP,SolarWind_batt,SolarWind_PGPbatt
system reliability,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CO2 price ($/kgCO2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norm. demand to 1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
demand file,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv
mean demand (kW),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed cost natgas ($/kW/h),-1.0,-1.0,-1.0,0.0118419,0.0118419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
var cost natgas ($/kW/h),-1.0,-1.0,-1.0,0.039,0.039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
fixed cost natgas_ccs ($/kW/h),-1.0,-1.0,-1.0,-1.0,0.0272712,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
var cost natgas_ccs ($/kW/h),-1.0,-1.0,-1.0,-1.0,0.0566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
fixed cost solar ($/kW/h),-1.0,-1.0,-1.0,-1.0,-1.0,0.0218638,-1.0,0.0218638,0.0218638,0.0218638,0.0218638,-1.0,-1.0,-1.0,0.0218638,0.0218638,0.0218638
var cost solar ($/kW/h),-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,1e-08,1e-08,1e-08,1e-08,-1.0,-1.0,-1.0,1e-08,1e-08,1e-08
solar file,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv,US_solar_thresh.csv
cap factor solar (-),0.0,0.0,0.0,0.0,0.0,0.27493708379558224,0.0,0.27493708379558224,0.27493708379558224,0.27493708379558224,0.27493708379558224,0.0,0.0,0.0,0.27493708379558224,0.27493708379558224,0.27493708379558224
fixed cost wind ($/kW/h),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0206486,0.0206486,-1.0,-1.0,-1.0,0.0206486,0.0206486,0.0206486,0.0206486,0.0206486,0.0206486
var cost wind ($/kW/h),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,1.05e-08,-1.0,-1.0,-1.0,1.05e-08,1.05e-08,1.05e-08,1.05e-08,1.05e-08,1.05e-08
wind file,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv,US_wind_thresh.csv
cap factor wind (-),0.0,0.0,0.0,0.0,0.0,0.0,0.363571204277968,0.363571204277968,0.0,0.0,0.0,0.363571204277968,0.363571204277968,0.363571204277968,0.363571204277968,0.363571204277968,0.363571204277968
fixed cost nuclear ($/kW/h),0.0647539,0.0647539,0.0647539,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
var cost nuclear ($/kW/h),0.0228,0.0228,0.0228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
fixed cost storage ($/kWh/h),-1.0,0.00423925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00423925,0.00423925,-1.0,0.00423925,0.00423925,-1.0,0.00423925,0.00423925
var cost storage ($/kWh/h),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
storage charging efficiency,-1.0,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.9,-1.0,0.9,0.9,-1.0,0.9,0.9
storage charging time (h),6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008
storage decay rate (1/h)),1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06
fixed cost storage2 ($/kWh/h),-1.0,-1.0,-1.0,-1.0,-1.0,0.0162423,0.0162423,0.0162423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
