time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214322482554441,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6679875814098897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16925767897119948,0.022799999999999997
1.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122667859708625,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6692933588372414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171313375554778,0.022799999999999997
2.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1939668036757987,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6705991362496975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1896133578498418,0.022799999999999997
3.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.170463339403552,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.671904913647258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2131168221220885,0.022799999999999997
4.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1507136627469436,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6732106910299227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2328664987786968,0.022799999999999997
5.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308590599105486,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6745164683976923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25272110161509187,0.022799999999999997
6.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118222949973365,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6758222457505663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26535721155227554,0.022799999999999997
7.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1106961025866169,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.677128023088545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27288405893902357,0.022799999999999997
8.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1037559852664318,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6784338004116277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27982417625920863,0.022799999999999997
9.0,1.1046799516004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1073448888852624,0.0,0.0,0.0,0.0,0.0,0.0,0.00266493728480227,0.0,3.6797395777198156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27623527264037806,0.022799999999999997
