time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0,0.8716340815110947,0.0014204731655069057,0.33860299059303717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0566
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.8660303949906277,0.0,0.3435714536954326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.8460736961717185,0.0,0.34522817021927776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.8260789253193067,0.0,0.341719476799443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.8199385070505548,0.0,0.32811021841158655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.812454144103878,0.0,0.31573997852186847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.805916429092499,0.0,0.3096415835960637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.8013839707968502,0.0,0.30664719450496447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.7983682221593686,0.0,0.302722825822261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.8036297931246952,0.0,0.301050158475765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.8148581084262321,0.0,0.3014086913135436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.8349380407073806,0.0,0.29910196907791703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.8643763043352192,0.0,0.29228493327187294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.8926083412448274,0.0,0.28507667663056985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0566
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.0,0.8592263528606194,0.05174415015283927,0.2779608882545987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.0,0.671577814438903,0.27580888603878967,0.24648050394156076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0566
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.0,0.5850048554242309,0.3980381800831116,0.20685410488487532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.0,0.5891656314984676,0.4107397702309907,0.18084388886583572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0566
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.0,0.6027629537216912,0.38539563594204845,0.17625005444271347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0566
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.0,0.599558920958759,0.37149649691596953,0.18077921546216977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.0,0.5731297995190597,0.3828876471301751,0.18668218499438707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0566
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.0,0.5661302889397283,0.39939141785676135,0.19027014246379725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0566
