time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0,0.0,0.0019520744298878086,0.6823042593825581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274012114571928,113.95635961086829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504940547971818
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.0,0.0,0.6923159947526805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172858539333799,113.42895709946532,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.10504940667805879
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.0,0.0,0.6956543726530917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956474937379046,112.91166995160245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050494078763994
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.0,0.0,0.688584156111212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792142460075377,112.41602116983597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504940907474003
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.0,0.0,0.6611607274261637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48688799803597765,111.9368056414539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504941027308069
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.0,0.0,0.6362339913936315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49196013123211485,111.44991636651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504941147142134
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.0,0.0,0.6239453792169168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49161263347164585,110.95795496392411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105049412669762
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.0,0.0,0.6179115151109698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901196501908449,110.46634106471069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504941386810271
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.0,0.0,0.6100036893032104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4910873586784193,109.9762201543861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050494150664434
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.0,0.0,0.6066331695891184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980467820113418,109.48513154116493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10504941626478412
