time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0,0.0,0.002082746917150225,0.6720491071223804,0.0,0.0,0.0,0.0,0.2802967025400115,1.684022588860389,0.0,0.0,0.0,0.0,0.2572289886900966,110.33494255205845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978313999966
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.0,0.0,0.6819103643602071,0.0,0.0,0.0,0.0,0.04205555396273434,1.4037239747358161,0.0,0.0,0.0,0.0,0.4856359303631189,110.07771230473354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978405179066
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.0,0.0,0.6851985658573497,0.0,0.0,0.0,0.0,0.0,1.3616668273638863,0.0,0.0,0.0,0.0,0.5061033005336466,109.59207511866991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978496358169
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.0,0.0,0.678234615905708,0.0,0.0,0.0,0.0,0.0,1.3616652816950205,0.0,0.0,0.0,0.0,0.48956378621304175,109.08597056797562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978587537274
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.0,0.0,0.6512233661464014,0.0,0.0,0.0,0.0,0.0,1.3616637360279094,0.0,0.0,0.0,0.0,0.49682535931574,108.59640553737528,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.07992978678716378
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.0,0.0,0.6266712833127135,0.0,0.0,0.0,0.0,0.0,1.3616621903625528,0.0,0.0,0.0,0.0,0.5015228393130328,108.0995789392569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978769895485
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.0,0.0,0.6145673711246118,0.0,0.0,0.0,0.0,0.0,1.3616606446989505,0.0,0.0,0.0,0.0,0.5009906415639509,107.59805486680874,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.07992978861074593
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.0,0.0,0.6086241970506744,0.0,0.0,0.0,0.0,0.0,1.3616590990371027,0.0,0.0,0.0,0.0,0.49940696825114034,107.09706299783072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992978952253701
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.0,0.0,0.6008352272468024,0.0,0.0,0.0,0.0,0.0,1.3616575533770097,0.0,0.0,0.0,0.0,0.5002558207348273,106.59765480788055,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.07992979043432812
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.0,0.0,0.5975153670330559,0.0,0.0,0.0,0.0,0.0,1.3616560077186712,0.0,0.0,0.0,0.0,0.5071645845674043,106.09739777114362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799297913461192
