time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0,0.0,0.003621414082035024,1.2080361311876038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087263936011629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.336808689942018e-19,0.1646320816060789,0.0,0.0,0.0,0.0,1.05e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.0,0.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087254755915718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18320809810457184,0.0,0.0,0.0,0.0,1.05e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.0,0.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087245575830228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20822427066691374,0.0,0.0,0.0,0.0,1.05e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.0,0.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087236395755156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21750378518192348,0.0,0.0,0.0,0.0,1.05e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087227215690507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18208266622332459,0.0,0.0,0.0,0.0,1.05e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.0,0.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087218035636277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517893508398931,0.0,0.0,0.0,0.0,1.05e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.0,0.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087208855592468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13970307764320888,0.0,0.0,0.0,0.0,1.05e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.0,0.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087199675559079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350909220197083,0.0,0.0,0.0,0.0,1.05e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.0,0.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087190495536112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12612197682217752,0.0,0.0,0.0,0.0,1.05e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.0,0.0,1.1046799516004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087181315523565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11575221963471294,0.0,0.0,0.0,0.0,1.05e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.0,0.0,1.1162667997397757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087172135521438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10561883364231894,0.0,0.0,0.0,0.0,1.05e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.0,0.0,1.1340400097852976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087162955529732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07849436452184522,0.0,0.0,0.0,0.0,1.05e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.0,0.0,1.156661237607092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087153775548446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028237443524263606,0.0,0.0,0.0,0.0,1.05e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.0,0.0,1.1556770113999506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022008006475446533,0.808714459557758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.1666547478557845e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.0,0.0,0.13191871453591064,1.0570126767321468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867055350862671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06981752355265369,0.0,0.0,0.0,0.0,1.05e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.0,0.0,0.7031587840625141,0.4907084203567394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786704642073213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.5085029340420477,0.0,0.0,0.0,0.0,1.05e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.0,0.0,1.0147752914615444,0.17512184893067334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867037490611726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634473969110601,0.0,0.0,0.0,0.0,1.05e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.0,0.0,1.0471572600497028,0.13359203054559107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786702856050146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995339743055625,0.0,0.0,0.0,0.0,1.05e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.0,0.0,0.9825438572486658,0.18186478685778734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867019630401331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326381973389616,0.0,0.0,0.0,0.0,1.05e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.0,0.0,0.9471088071403855,0.2047258261965127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867010700311338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.528137998083613,0.0,0.0,0.0,0.0,1.05e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.0,0.0,0.976149884999522,0.16654974664409974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867001770231482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5902442225640813,0.0,0.0,0.0,0.0,1.05e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.0,0.0,1.0182252928053488,0.13756655645493798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866992840161763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337726923400803,0.0,0.0,0.0,0.0,1.05e-08
