time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.270847194,0.0,0.0,0.0,0.0,0.0,0.9312964000039807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803611452656579,260.3608456477594,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643142892637623
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.0,0.0,0.9449617010478655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646401476381949,260.08048153245346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643143025455614
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.0,0.0,0.9495183475552746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24178351883572174,259.81583841797317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643143158273606
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.0,0.0,0.9398680088359185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22793039328283132,259.57405193531423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643143291091598
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.0,0.0,0.9024369946527988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24561173080934254,259.34611858096633,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643143423909594
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.0,0.0,0.8684137869537085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597803356720379,259.1005038916921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643143556727589
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.0,0.0,0.8516407122969919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26391730039157085,258.8407206003569,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643143689545588
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.0,0.0,0.8434049203570927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26462624494472203,258.5768003472657,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643143822363584
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.0,0.0,0.8326113050376025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26847974294402704,258.312171152632,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643143955181585
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.0,0.0,0.82801078725875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766691643417102,258.0436884630177,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144087999589
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.0,0.0,0.8289968988714136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287269900868362,257.76701635506845,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144220817592
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.0,0.0,0.822652471404646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3113875383806516,257.4797435137486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643144353635598
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.0,0.0,0.8039028410669223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3527583965401696,257.1683530381935,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144486453604
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.0,0.0,0.7840771937842654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39360782409113176,256.81559170803104,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144619271613
14.0,1.1889313912680575,0.0,0.222339816,0.0,0.0,0.0,0.0,0.0,0.7645058719653838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4244255193026736,256.42198095434173,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144752089621
15.0,1.1938672044192535,0.0,0.197158781,0.0,0.0,0.0,0.0,0.0,0.677921968704144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5159452357151093,255.99755250993096,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.11643144884907634
16.0,1.1898971403922178,0.0,0.165461781,0.0,0.0,0.0,0.0,0.0,0.5689332007018949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6209639396903229,255.48160435394936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643145017725647
17.0,1.1807492905952939,0.0,0.144656312,0.0,0.0,0.0,0.0,0.0,0.49739449249547196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833547980998219,254.86063749987818,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.1164314515054366
18.0,1.1644086441064532,0.0,0.140981722,0.0,0.0,0.0,0.0,0.0,0.4847595731966934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796490709097598,254.17727979448114,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.11643145283361676
19.0,1.1518346333368983,0.0,0.14460458,0.0,0.0,0.0,0.0,0.0,0.4972166142437039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6546180190931942,253.49762782406944,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.11643145416179694
