time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.270847194,0.0,0.0,0.0,0.0,0.0,0.9012254803581287,0.0,0.0,0.0,0.0,0.3104320649115101,5.278319784418657,0.0,0.0,0.0,0.0,0.0,242.84794803326997,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.10430505741515914
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.0,0.0,0.9144495382385851,0.0,0.0,0.0,0.0,0.2951523104474752,4.96788172792801,0.0,0.0,0.0,0.0,0.0,242.8479452630063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430517581509337
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.0,0.0,0.918859053767094,0.0,0.0,0.0,0.0,0.27244281262390235,4.672723778288949,0.0,0.0,0.0,0.0,0.0,242.84794249274262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430529421516199
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.0,0.0,0.9095203178416322,0.0,0.0,0.0,0.0,0.2582780842771175,4.400275661516105,0.0,0.0,0.0,0.0,0.0,242.847939722479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430541261536501
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.0,0.0,0.8732979253387408,0.0,0.0,0.0,0.0,0.2747508001234005,4.141992582354075,0.0,0.0,0.0,0.0,0.0,242.8479369522154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430553101570243
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.0,0.0,0.8403733035944648,0.0,0.0,0.0,0.0,0.28782081903128154,3.8672370805306344,0.0,0.0,0.0,0.0,0.0,242.84793418195184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430564941617426
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.0,0.0,0.8241418199717239,0.0,0.0,0.0,0.0,0.29141619271683883,3.579411871682526,0.0,0.0,0.0,0.0,0.0,242.8479314116883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430576781678047
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.0,0.0,0.8161719560839933,0.0,0.0,0.0,0.0,0.29185920921782144,3.287991615867889,0.0,0.0,0.0,0.0,0.0,242.8479286414248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043058862175211
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.0,0.0,0.8057268591727771,0.0,0.0,0.0,0.0,0.2953641888088525,2.9961286743521445,0.0,0.0,0.0,0.0,0.0,242.84792587116135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430600461839612
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.0,0.0,0.8012748889459784,0.0,0.0,0.0,0.0,0.30340506265448175,2.70076108454775,0.0,0.0,0.0,0.0,0.0,242.84792310089793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430612301940553
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.0,0.0,0.8022291596935145,0.0,0.0,0.0,0.0,0.3140376400462611,2.3973529561783384,0.0,0.0,0.0,0.0,0.0,242.84792033063454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430624142054937
