time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
,,,,,,,,,,,,,,6.109746681,,,,,,,1515.390036,900.4737813,564.8368861,,,,,,,,,
,,,,,,,,,,,,,0.878548566,0.863917943,5.278319784,0,0,0,0.438515321,0.737969013,664.521748,,,,,,,,,,,
0,1.211657545,0,0.270847194,0,0,0,0,0,0.90122548,0,0,0,0,0.310432065,5.278319784,0,0,0,0,0,242.847948,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104305057
1,1.209601849,0,0.274821448,0,0,0,0,0,0.914449538,0,0,0,0,0.29515231,4.967881728,0,0,0,0,0,242.8479453,0,0,0,0,0,0,0,0,0,0,0.104305176
2,1.191301866,0,0.276146649,0,0,0,0,0,0.918859054,0,0,0,0,0.272442813,4.672723778,0,0,0,0,0,242.8479425,0,0,0,0,0,0,0,0,0,0,0.104305294
3,1.167798402,0,0.273340059,0,0,0,0,0,0.909520318,0,0,0,0,0.258278084,4.400275662,0,0,0,0,0,242.8479397,0,0,0,0,0,0,0,0,0,0,0.104305413
4,1.148048725,0,0.262454067,0,0,0,0,0,0.873297925,0,0,0,0,0.2747508,4.141992582,0,0,0,0,0,242.847937,0,0,0,0,0,0,0,0,0,0,0.104305531
5,1.128194123,0,0.252559161,0,0,0,0,0,0.840373304,0,0,0,0,0.287820819,3.867237081,0,0,0,0,0,242.8479342,0,0,0,0,0,0,0,0,0,0,0.104305649
6,1.115558013,0,0.247681079,0,0,0,0,0,0.82414182,0,0,0,0,0.291416193,3.579411872,0,0,0,0,0,242.8479314,0,0,0,0,0,0,0,0,0,0,0.104305768
7,1.108031165,0,0.245285879,0,0,0,0,0,0.816171956,0,0,0,0,0.291859209,3.287991616,0,0,0,0,0,242.8479286,0,0,0,0,0,0,0,0,0,0,0.104305886
8,1.101091048,0,0.242146792,0,0,0,0,0,0.805726859,0,0,0,0,0.295364189,2.996128674,0,0,0,0,0,242.8479259,0,0,0,0,0,0,0,0,0,0,0.104306005
9,1.104679952,0,0.240808832,0,0,0,0,0,0.801274889,0,0,0,0,0.303405063,2.700761085,0,0,0,0,0,242.8479231,0,0,0,0,0,0,0,0,0,0,0.104306123
10,1.1162668,0,0.241095621,0,0,0,0,0,0.80222916,0,0,0,0,0.31403764,2.397352956,0,0,0,0,0,242.8479203,0,0,0,0,0,0,0,0,0,0,0.104306241
11,1.13404001,0,0.239250483,0,0,0,0,0,0.796089589,0,0,0,0,0.33795042,2.083312595,0,0,0,0,0,242.8479176,0,0,0,0,0,0,0,0,0,0,0.10430636
12,1.156661238,0,0.233797563,0,0,0,0,0,0.777945372,0,0,0,0,0.378715866,1.74535981,0,0,0,0,0,242.8479148,0,0,0,0,0,0,0,0,0,0,0.104306478
13,1.177685018,0,0.228031707,0,0,0,0,0,0.758759881,0,0,0,0,0.418925137,1.366641963,0,0,0,0,0,242.847912,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306597
14,1.188931391,0,0.222339816,0,0,0,0,0,0.739820504,0,0,0,0,0.449110888,0.947715274,0,0,0,0,0,242.8479092,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306715
15,1.193867204,0,0.197158781,0,0,0,0,0,0.656032335,0,0,0,0,0.498602745,0.498603311,0,0,0,0,0.039232124,242.8479065,0,0,0,0,0,0,0,0,0,0,0.104306833
16,1.18989714,0,0.165461781,0,0,0,0,0,0.550562739,0,0,0,0,0,0,0,0,0,0,0.639334401,242.8086716,0,0,0,0,0,1.11E-16,0,0,0,0,0.104306835
17,1.180749291,0,0.144656312,0,0,0,0,0,0.481333967,0,0,0,0,0,0,0,0,0,0,0.699415324,242.1693344,0,0,0,0,0,0,0,0,0,0,0.104306836
18,1.164408644,0,0.140981722,0,0,0,0,0,0.46910702,0,0,0,0,0,0,0,0,0,0,0.695301624,241.4699163,0,0,0,0,0,-5.55E-17,0,0,0,0,0.104306837
19,1.151834633,0,0.14460458,0,0,0,0,0,0.481161832,0,0,0,0,0,0,0,0,0,0,0.670672801,240.7746119,0,0,0,0,0,-5.55E-17,0,0,0,0,0.104306838
